Geography,Geography_code,Disability_alot,Disability%,All_Ages,65+,Age65+%,White,Black,Asian,Mixed,Other,Local_Authority_Population,White%,Black%,Asian%,Mixed%,Other%
Barking and Dagenham,E09000002,13726,6.27,214107,19807,9.25,98275,46807,56583,9320,7886,218871,44.9,21.39,25.85,4.26,3.6
Barnet,E09000003,22003,3.85,399007,58170,14.58,224762,30651,74972,20889,38070,389344,57.73,7.87,19.26,5.37,9.78
Bexley,E09000004,15402,6.25,249301,41033,16.46,177164,30075,24434,8740,6062,246475,71.88,12.2,9.91,3.55,2.46
Brent,E09000005,19060,7.73,327753,42023,12.82,117701,59495,111515,17249,33861,339821,34.64,17.51,32.82,5.08,9.96
Bromley,E09000006,18279,5.54,332752,58115,17.46,252295,25149,27307,17740,7500,329991,76.46,7.62,8.28,5.38,2.27
Camden,E09000007,14052,6.69,279516,33599,12.02,125064,18892,38042,13938,14200,210136,59.52,8.99,18.1,6.63,6.76
City of London,E09000001,280,3.26,10938,1731,15.83,5955,232,1445,470,482,8584,69.37,2.7,16.83,5.48,5.62
Croydon,E09000008,23716,6.07,388563,54048,13.91,188985,88441,68487,29745,15066,390724,48.37,22.64,17.53,7.61,3.86
Ealing,E09000009,19868,5.41,340341,45661,13.42,158463,39491,111241,19161,38760,367116,43.16,10.76,30.3,5.22,10.56
Enfield,E09000010,21145,6.41,333587,44837,13.44,171884,60512,37973,19558,40058,329985,52.09,18.34,11.51,5.93,12.14
Greenwich,E09000011,18542,6.41,289034,30693,10.62,161006,60602,38028,17297,12132,289065,55.7,20.96,13.16,5.98,4.2
Hackney,E09000012,16622,6.41,280941,22316,7.94,137709,54645,26885,17487,22421,259147,53.14,21.09,10.37,6.75,8.65
Hammersmith and Fulham,E09000013,10107,5.52,183544,20687,11.27,115679,22453,19306,12318,13400,183156,63.16,12.26,10.54,6.73,7.32
Haringey,E09000014,16196,6.13,266357,28618,10.74,150581,46466,23080,18556,25555,264238,56.99,17.58,8.73,7.02,9.67
Harrow,E09000015,13808,5.29,252338,40634,16.1,95233,19151,118152,9833,18836,261205,36.46,7.33,45.23,3.76,7.21
Havering,E09000016,16609,6.34,260651,46518,17.85,197314,21567,28150,9747,5274,262052,75.3,8.23,10.74,3.72,2.01
Hillingdon,E09000017,17084,5.58,309014,42033,13.6,147387,23955,101938,13359,19268,305907,48.18,7.83,33.32,4.37,6.3
Hounslow,E09000018,15452,5.36,271767,34119,12.55,127083,20810,105846,13514,20928,288181,44.1,7.22,36.73,4.69,7.26
Islington,E09000019,15772,7.28,248115,21844,8.8,134754,28743,21532,16231,15330,216590,62.22,13.27,9.94,7.49,7.08
Kensington and Chelsea,E09000020,8394,5.85,156864,25596,16.32,91394,11279,17025,9525,14150,143373,63.75,7.87,11.87,6.64,9.87
Kingston upon Thames,E09000021,8430,5.02,179142,25082,14,114831,4741,29938,8996,9559,168065,68.33,2.82,17.81,5.35,5.69
Lambeth,E09000022,17092,5.38,321813,28050,8.72,174778,76145,23051,25630,18046,317650,55.02,23.97,7.26,8.07,5.68
Lewisham,E09000023,17964,5.98,305309,29354,9.61,154749,80473,26927,24253,14151,300553,51.49,26.77,8.96,8.07,4.71
Merton,E09000024,10384,4.83,206453,26634,12.9,129617,22887,40019,12765,9899,215187,60.23,10.64,18.6,5.93,4.6
Newham,E09000025,19618,5.59,355266,27964,7.87,107947,61302,148187,16419,17175,351030,30.75,17.46,42.21,4.68,4.89
Redbridge,E09000026,16462,5.31,305658,39273,12.85,107974,26096,146833,12736,16622,310261,34.8,8.41,47.33,4.1,5.36
Richmond upon Thames,E09000027,8722,4.47,198141,31982,16.14,157111,3687,17467,10662,6350,195277,80.46,1.89,8.94,5.46,3.25
Southwark,E09000028,17361,5.64,320017,27938,8.73,158220,77299,30540,22151,19430,307640,51.43,25.13,9.93,7.2,6.32
Sutton,E09000029,12205,5.82,207707,31916,15.37,143145,12465,36787,10162,7077,209636,68.28,5.95,17.55,4.85,3.38
Tower Hamlets,E09000030,17599,5.67,331969,21771,6.56,122266,22693,137856,15409,12082,310306,39.4,7.31,44.43,4.97,3.89
Waltham Forest,E09000031,15933,5.72,276940,30507,11.02,147024,41647,55545,17983,16229,278428,52.81,14.96,19.95,6.46,5.83
Wandsworth,E09000032,14764,4.51,329735,32000,9.7,222090,33062,38314,20598,13442,327506,67.81,10.1,11.7,6.29,4.1
Westminster,E09000033,13256,6.49,269848,33900,12.56,112732,16456,34242,13335,27471,204236,55.2,8.06,16.77,6.53,13.45
